№,Аймаг,Хяналтын цэгийн нэр,Сум,Уртраг,Өргөрөг,ДТД өндөр /м/
1,Улаанбаатар,УБ-1,,106° 52’ 57.54”,47° 53’ 38.44”,
2,Улаанбаатар,УБ-2,,106° 53’ 39.60”,47° 54’ 55.46”,
3,Улаанбаатар,УБ-3,,106° 50’ 53.02”,47° 55’ 04.3”,
4,Улаанбаатар,УБ-4,,106° 56’ 14.97”,47° 55’ 02.65”,
5,Улаанбаатар,УБ-5,,106° 55’ 16.96”,47° 55’ 58.45”,
6,Улаанбаатар,УБ-6,,106° 58’ 19.31”,47° 54’ 48.42”,
7,Улаанбаатар,УБ-7,,106° 50’ 32.97”,47° 54’ 20.22”,
8,Улаанбаатар,УБ-8,,107° 07’ 05.77”,47° 51’ 57.43”,
9,Улаанбаатар,УБ-9,,106° 56’ 25.84”,47° 58’ 54.89”,
10,Улаанбаатар,УБ-10,,106° 49’ 22.87”,47° 54’ 43.52”,
11,Улаанбаатар,УБ-11,,106° 54’ 14.66”,47° 57’ 05.15”,
12,Улаанбаатар,Багануур,,,,
13,Архангай,Цэцэрлэг,Эрдэнэбулган,101° 27’ 44.8”,47° 28’ 19.9”,1693
14,Баян-өлгий,Өлгий,Өлгий,89° 57’ 53.8”,48° 58’ 09.1”,1730
15,Баянхонгор,Баянхонгор,Баянхонгор,100° 43’ 12.3”,46° 11’ 49.6”,1881
16,Булган,Булган,Булган,103° 31’ 07.2”,48° 49’ 05.6”,1440
17,Говь-Алтай,Алтай,Алтай,96° 15’ 44.4”,46° 22’ 35.5”,2154
18,Говь-Сүмбэр,Чойр,Чойр,108° 10’ 286”,46° 21’ 28”,1286
19,Дархан-Уул,Дархан-01,Дархан-Уул,105° 54’ 23.4”,49° 29’ 25.4”,707
20,Дархан-Уул,Дархан-02,Шарын гол,106° 24’ 42.8”,49° 15’ 41.2”,910
21,Дархан-Уул,Дархан-03,Дархан-Уул,105° 58’ 24.5”,49° 27’ 29.2”,654
22,Дундговь,Мандалговь,Мандалговь,106° 16’ 29.6”,45° 46’ 01.6”,1398
23,Дорнод,Чойбалсан,Чойбалсан,114° 32’ 15.3”,48° 04’ 50.0”,748
24,Дорноговь,Сайншанд,Сайншанд,110° 08’ 47.0”,44° 63’ 59.9”,954
25,Сүхбаатар,Баруун-Урт,Баруун-Урт,113° 16’ 48.9”,46° 40’ 49.1”,-
26,Сэлэнгэ,Сүхбаатар,Сүхбаатар,106° 11’ 34.0”,50° 14’ 22.9”,635
27,Сэлэнгэ,Зүүнхараа,Зүүнхараа,106° 51’,48° 52’,
28,Завхан,Улиастай,Улиастай,96° 50’ 50.6”,47° 43’ 36.8”,1767
29,Увс,Улаангом,Улаангом,92° 04’ 38.5”,49° 58’ 19.0”,928
30,Ховд,Ховд,Жаргалант,91° 38’ 02.1”,47° 59’ 45.6”,1409
31,Хөвсгөл,Мөрөн,Мөрөн,100° 09’ 59.5”,49° 38’ 19.9”,1288
32,Хэнтий,Бор-Өндөр,Бор-Өндөр,110° 38’ 55.2”,47° 19’ 26.3”,1314
33,Төв,Зуунмод,Зуунмод,106° 57’ 13.15”,47° 42’ 37.4”,1520
34,Өвөрхөнгай,Арвайхээр,Арвайхээр,102° 47’ 21.2”,46° 15’ 32.1”,
35,Өмнөговь,Даланзадгад,Даланзадгад,104° 25’ 21.6”,43° 34’ 03.4”,1451
36,Орхон,Эрдэнэт-1,Эрдэнэт,104° 02’ 43.0”,49° 01’ 9.8”,1341
37,Орхон,Эрдэнэт-2,Эрдэнэт,104° 01’ 41.3”,49° 01’ 1.4”,1367
38,Орхон,Эрдэнэт-3,Эрдэнэт,104° 01’ 08.4”,49° 00’ 48.5”,1328
